Week,Day,2017,2018,2019,2020,2021
Week 21,Tuesday,0.0,1190.38,1709.08,0.0,752.72
Week 21,Wednesday,0.0,2151.69,2497.2799999999997,0.0,1953.55
Week 21,Thursday,0.0,1552.58,1887.8600000000001,0.0,2381.4300000000003
Week 21,Friday,0.0,2060.73,2552.96,0.0,2315.03
Week 21,Saturday,0.0,2712.04,2441.5499999999997,0.0,3157.2000000000003
Week 21,Sunday,0.0,1194.6,1504.06,0.0,1690.5300000000002
Week 21,Total,0.0,12185.160000000002,13801.789999999999,0.0,13629.100000000002
Week 22,Monday,0.0,1127.6000000000001,2238.08,0.0,0.0
Week 22,Tuesday,0.0,1422.13,1595.88,1979.05,1493.52
Week 22,Wednesday,0.0,1544.29,2063.08,1533.6,1009.23
Week 22,Thursday,0.0,1106.3,1997.4299999999998,819.9100000000001,2150.33
Week 22,Friday,0.0,2394.19,2208.22,2834.77,2110.98
Week 22,Saturday,0.0,2212.91,3360.11,1472.88,2577.95
Week 22,Sunday,0.0,1276.8999999999999,1540.77,876.99,1345.09
Week 22,Total,0.0,11084.32,15003.57,9517.199999999999,10687.099999999999
Week 23,Monday,0.0,1296.42,1482.1599999999999,1130.97,1320.8300000000002
Week 23,Tuesday,0.0,1814.59,1459.5500000000002,909.6999999999999,1882.91
Week 23,Wednesday,0.0,1448.88,2448.16,1853.15,2102.38
Week 23,Thursday,0.0,1810.25,2267.12,1278.03,1684.2
Week 23,Friday,0.0,1967.15,2338.4300000000003,1894.4199999999998,2745.13
Week 23,Saturday,0.0,1767.3,2291.41,1944.8999999999999,2502.59
Week 23,Sunday,0.0,1461.1100000000001,1499.47,997.15,2221.21
Week 23,Total,0.0,11565.7,13786.3,10008.32,14459.25
Week 24,Monday,0.0,1468.36,1265.94,1699.84,1062.57
Week 24,Tuesday,0.0,1216.94,1722.71,1287.4,1384.4
Week 24,Wednesday,0.0,1912.1,2365.7999999999997,1631.8600000000001,2229.21
Week 24,Thursday,0.0,1918.71,2300.13,1613.29,1889.18
Week 24,Friday,0.0,2266.24,1860.0,2006.5400000000002,3240.95
Week 24,Saturday,0.0,1848.83,1647.0500000000002,1847.01,2424.4700000000003
Week 24,Sunday,0.0,1292.59,1597.8200000000002,1434.78,1565.88
Week 24,Total,0.0,11923.769999999999,12759.45,11520.720000000001,13796.660000000003
Week 25,Monday,0.0,2122.6800000000003,1715.9199999999998,704.87,509.52
Week 25,Tuesday,0.0,1576.8600000000001,1586.65,953.95,1565.98
Week 25,Wednesday,0.0,2300.91,2916.21,1316.1100000000001,1754.8000000000002
Week 25,Thursday,0.0,1862.55,1862.95,1364.05,2228.37
Week 25,Friday,0.0,2266.83,2366.56,1582.68,1643.3799999999999
Week 25,Saturday,0.0,1541.94,1819.1999999999998,1883.6600000000003,2017.08
Week 25,Sunday,0.0,2019.8,1438.7,702.31,1166.24
Week 25,Total,0.0,13691.570000000002,13706.189999999999,8507.630000000001,10885.37
Week 26,Monday,0.0,1100.67,1649.93,1218.81,1283.9399999999998
Week 26,Tuesday,0.0,1453.67,1149.6999999999998,1222.25,2067.37
Week 26,Wednesday,0.0,1586.79,2012.98,979.39,2217.06
Week 26,Thursday,0.0,1864.42,1882.0,1626.58,1643.47
Week 26,Friday,0.0,1572.0699999999997,2284.5299999999997,1703.7,2819.59
Week 26,Saturday,0.0,1603.21,2124.01,1100.45,3972.5699999999997
Week 26,Sunday,0.0,1162.3600000000001,1426.87,645.86,0.0
Week 26,Total,0.0,10343.19,12530.02,8497.039999999999,14004.0
Q2,Total,0.0,156134.50000000003,184952.8,48050.909999999996,174462.59
Week 27,Monday,0.0,995.54,1328.8899999999999,661.0,1268.63
Week 27,Tuesday,0.0,2718.34,1740.1299999999999,659.25,1467.3999999999999
Week 27,Wednesday,0.0,0.0,2883.23,1058.49,4056.15
Week 27,Thursday,0.0,1256.79,0.0,1131.74,1432.77
Week 27,Friday,0.0,2087.4,2792.09,1521.7,2177.34
Week 27,Saturday,0.0,3464.32,1805.12,0.0,2114.67
Week 27,Sunday,0.0,1273.07,1636.59,682.45,5116.91
Week 27,Total,0.0,11795.46,12186.05,5714.629999999999,17633.870000000003
Week 28,Monday,0.0,1096.1,1309.4399999999998,780.27,1083.24
Week 28,Tuesday,0.0,1497.0699999999997,1400.8200000000002,0.0,1887.26
Week 28,Wednesday,0.0,3742.2599999999998,2834.58,0.0,2307.83
Week 28,Thursday,0.0,1871.05,1521.42,0.0,2021.8799999999999
Week 28,Friday,0.0,1880.77,2070.86,0.0,1880.1100000000001
Week 28,Saturday,0.0,2626.33,2338.48,0.0,1898.28
Week 28,Sunday,0.0,1633.04,1596.5,0.0,1437.5900000000001
Week 28,Total,0.0,14346.619999999999,13072.1,780.27,12516.19
Week 29,Monday,0.0,1370.13,1881.48,0.0,794.46
Week 29,Tuesday,0.0,1358.69,956.3100000000001,0.0,1639.4299999999998
Week 29,Wednesday,0.0,2001.9900000000002,2284.96,0.0,2554.7
Week 29,Thursday,0.0,1245.68,1716.54,0.0,1953.89
Week 29,Friday,0.0,1829.81,2510.54,1638.45,2190.4900000000002
Week 29,Saturday,0.0,2347.44,2024.61,1213.08,2092.69
Week 29,Sunday,0.0,937.23,1777.5300000000002,410.29,1408.92
Week 29,Total,0.0,11090.970000000001,13151.970000000001,3261.8199999999997,12634.580000000002
Week 30,Monday,0.0,1119.12,1446.8400000000001,739.6500000000001,781.72
Week 30,Tuesday,0.0,1101.1799999999998,1154.8300000000002,635.3299999999999,1011.44
Week 30,Wednesday,0.0,1561.6000000000001,2046.13,887.73,1937.16
Week 30,Thursday,0.0,1518.18,1381.96,672.87,2072.96
Week 30,Friday,0.0,1825.51,1814.0,1318.04,2346.0699999999997
Week 30,Saturday,0.0,1764.4099999999999,1971.15,806.4300000000001,1664.41
Week 30,Sunday,0.0,903.1600000000001,1479.27,686.04,1257.97
Week 30,Total,0.0,9793.16,11294.18,5746.09,11071.73
Week 31,Monday,0.0,1536.81,1112.81,744.3399999999999,746.58
Week 31,Tuesday,0.0,1172.18,2099.7599999999998,1344.75,1485.58
Week 31,Wednesday,0.0,1687.0499999999997,2816.3500000000004,1122.84,2386.54
Week 31,Thursday,0.0,1267.51,1965.0900000000001,1398.8500000000001,1568.24
Week 31,Friday,0.0,2004.2600000000002,3142.99,1690.1100000000001,1960.22
Week 31,Saturday,0.0,1935.79,1959.32,1567.07,860.03
Week 31,Sunday,0.0,798.2099999999999,1885.9,686.51,1320.58
Week 31,Total,0.0,10401.809999999998,14982.22,8554.470000000001,10327.77
Week 32,Monday,0.0,1283.53,1293.9,821.24,747.0300000000001
Week 32,Tuesday,0.0,1408.52,1552.03,637.01,1858.1999999999998
Week 32,Wednesday,0.0,2081.15,2921.54,1333.12,1959.0400000000002
Week 32,Thursday,0.0,1584.94,1549.1499999999999,1049.74,870.71
Week 32,Friday,0.0,2417.3199999999997,2389.27,1576.28,1558.52
Week 32,Saturday,0.0,1560.4,2255.66,989.1999999999999,781.22
Week 32,Sunday,0.0,971.51,1494.08,925.98,719.53
Week 32,Total,0.0,11307.37,13455.63,7332.57,8494.25
Week 33,Monday,0.0,1070.72,1858.8200000000002,823.0,920.81
Week 33,Tuesday,0.0,1264.23,1555.1200000000001,1496.84,841.0799999999999
Week 33,Wednesday,0.0,1646.74,2096.57,1087.8,1167.54
Week 33,Thursday,0.0,1384.06,1971.9699999999998,1041.8899999999999,1943.25
Week 33,Friday,0.0,2099.27,2718.6699999999996,2187.36,2003.0
Week 33,Saturday,0.0,1759.83,2341.35,1624.88,1126.1599999999999
Week 33,Sunday,0.0,1337.24,1324.29,737.97,1156.3300000000002
Week 33,Total,0.0,10562.09,13866.79,8999.74,9158.17
Week 34,Monday,0.0,1287.92,1151.4,1015.0000000000001,827.48
Week 34,Tuesday,0.0,924.55,1834.18,924.27,1398.0
Week 34,Wednesday,0.0,1599.5,2687.71,1323.06,1510.26
Week 34,Thursday,0.0,1929.94,1811.3700000000001,1661.25,1091.95
Week 34,Friday,0.0,1964.56,2135.23,1511.23,1462.26
Week 34,Saturday,0.0,1645.25,2224.23,1511.41,1354.29
Week 34,Sunday,0.0,1339.9,1834.23,968.19,1028.8400000000001
Week 34,Total,0.0,10691.619999999999,13678.349999999999,8914.41,8673.08
Week 35,Monday,0.0,1121.18,1423.7800000000002,795.81,755.72
Week 35,Tuesday,0.0,1010.06,1913.35,902.1800000000001,1295.54
Week 35,Wednesday,0.0,1327.3799999999999,1827.77,1470.74,1468.38
Week 35,Thursday,0.0,1185.75,1943.15,1362.8000000000002,1563.34
Week 35,Friday,0.0,2026.43,1627.23,2134.48,2108.7400000000002
Week 35,Saturday,0.0,1484.19,2577.04,1270.22,1898.23
Week 35,Sunday,0.0,2136.88,2329.49,789.1700000000001,1443.1399999999999
Week 35,Total,0.0,10291.869999999999,13641.81,8725.400000000001,10533.09
Week 36,Monday,0.0,1411.6599999999999,1380.92,1035.37,1583.29
Week 36,Tuesday,0.0,1680.7,796.9999999999999,775.9499999999999,930.24
Week 36,Wednesday,0.0,1645.9900000000002,2191.33,1356.38,1564.04
Week 36,Thursday,0.0,2025.0400000000002,1782.01,1430.05,1478.59
Week 36,Friday,0.0,1737.16,2611.6099999999997,1715.4,2545.97
Week 36,Saturday,0.0,2056.08,2596.29,1400.41,2552.24
Week 36,Sunday,0.0,1566.85,1096.32,990.79,1776.76
Week 36,Total,0.0,12123.480000000001,12455.48,8704.349999999999,12431.13
Week37,Monday,0.0,777.6200000000001,1087.1299999999999,923.96,1144.48
Week37,Tuesday,0.0,977.2399999999999,1157.75,1161.8,1607.81
Week37,Wednesday,0.0,1634.65,1745.1599999999999,1268.13,1714.08
Week37,Thursday,0.0,1410.54,2188.41,1184.55,1888.67
Week37,Friday,0.0,2034.98,2629.3,2157.02,1947.76
Week37,Saturday,0.0,1754.2,2416.7,1326.44,2283.41
Week37,Sunday,0.0,1231.58,1527.5300000000002,1001.7800000000001,1327.15
Week37,Total,0.0,9820.810000000001,12751.980000000001,9023.680000000002,11913.359999999999
Week 38,Monday,0.0,1071.92,1132.65,592.47,1292.37
Week 38,Tuesday,0.0,1206.92,1322.61,655.27,964.79
Week 38,Wednesday,0.0,1181.72,1834.45,1218.6000000000001,3171.2
Week 38,Thursday,0.0,1491.69,2140.4700000000003,1127.46,1664.52
Week 38,Friday,0.0,1411.0900000000001,2298.79,1494.78,1989.65
Week 38,Saturday,0.0,1841.98,2042.06,1500.97,3311.91
Week 38,Sunday,0.0,987.9300000000001,1597.3700000000001,1043.68,951.3199999999999
Week 38,Total,0.0,9193.25,12368.400000000001,7633.2300000000005,13345.759999999998
Week 39,Monday,0.0,1263.97,1185.4099999999999,1107.2600000000002,960.16
Week 39,Tuesday,0.0,1234.33,1188.7799999999997,787.5600000000001,916.36
Week 39,Wednesday,0.0,2071.7,1959.49,1546.8300000000002,1633.25
Week 39,Thursday,0.0,1546.6799999999998,1336.0900000000001,1500.33,1655.8899999999999
Week 39,Friday,0.0,2619.06,2157.54,2105.39,2237.1099999999997
Week 39,Saturday,0.0,1889.73,2086.6,1767.99,2436.0
Week 39,Sunday,0.0,1820.16,1835.49,763.28,938.52
Week 39,Total,0.0,12445.63,11749.4,9578.640000000001,10777.29
Q3,Total,0.0,143864.13999999998,168654.36000000002,92969.3,149510.27000000002
Week 40,Monday,0.0,1145.34,1583.5,1164.6399999999999,1049.24
Week 40,Tuesday,0.0,1380.2800000000002,1233.85,630.17,1183.11
Week 40,Wednesday,0.0,1812.37,1844.71,1794.49,1738.9500000000003
Week 40,Thursday,0.0,1698.68,1803.44,1720.08,1848.6
Week 40,Friday,0.0,1883.68,1912.03,2195.6800000000003,1905.1599999999999
Week 40,Saturday,0.0,1831.06,2454.55,1149.35,1778.35
Week 40,Sunday,0.0,1010.77,1448.39,1252.83,0.0
Week 40,Total,0.0,10762.18,12280.470000000001,9907.24,9503.41
Week 41,Monday,0.0,1401.5900000000001,868.76,804.3900000000001,0.0
Week 41,Tuesday,0.0,1571.8999999999999,1648.55,1185.29,0.0
Week 41,Wednesday,0.0,2710.61,2297.7599999999998,1525.78,0.0
Week 41,Thursday,0.0,2098.3,1781.38,1569.62,0.0
Week 41,Friday,0.0,2502.97,2339.31,1821.42,0.0
Week 41,Saturday,0.0,1875.6799999999998,2252.76,1696.08,0.0
Week 41,Sunday,0.0,1206.92,1614.69,1267.8600000000001,0.0
Week 41,Total,0.0,13367.970000000001,12803.210000000001,9870.44,0.0
Week 42,Monday,0.0,1542.03,1038.72,755.54,0.0
Week 42,Tuesday,0.0,1670.83,2047.95,823.19,0.0
Week 42,Wednesday,0.0,1984.2900000000002,1632.0,1516.0700000000002,0.0
Week 42,Thursday,0.0,1596.12,1802.0099999999998,990.8299999999999,0.0
Week 42,Friday,0.0,1908.56,3007.7700000000004,1676.1,0.0
Week 42,Saturday,0.0,2333.36,2276.66,1357.95,0.0
Week 42,Sunday,0.0,1505.1599999999999,1335.26,1025.05,0.0
Week 42,Total,0.0,12540.35,13140.37,8144.73,0.0
Week 43,Monday,0.0,1527.3,1001.1800000000001,713.7099999999999,0.0
Week 43,Tuesday,0.0,1286.5900000000001,1281.72,734.71,0.0
Week 43,Wednesday,0.0,2546.79,1847.71,1014.36,0.0
Week 43,Thursday,0.0,1404.4299999999998,1902.2200000000003,1328.61,0.0
Week 43,Friday,0.0,2320.82,1948.37,1861.46,0.0
Week 43,Saturday,0.0,2406.23,2579.13,1559.69,0.0
Week 43,Sunday,0.0,1341.15,1141.89,972.71,0.0
